# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 9 1751
  6 45 399 2.72381 1.6986 284.484 0.0267581 2.60412 -0.946609
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
125000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.95968 1.3708 292.521 -0.0258124 2.80431 -1.03636
  3 15 334 3.52022 1.42189 287.925 -0.0655064 3.30773 -1.98471
  4 25 368 3.8467 1.56663 295.142 -0.00884837 3.69945 -2.39493
  5 35 402 3.65285 1.71137 283.26 -0.00178507 3.49518 -1.11657
  6 45 399 2.68821 1.6986 285.243 0.0122977 2.57035 -0.963639
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
130000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.94517 1.3708 298.727 -0.0244594 2.78664 -1.00188
  3 15 334 3.50221 1.42189 294.103 -0.0613553 3.29513 -1.53719
  4 25 368 3.8628 1.56663 288.723 -0.000285598 3.72292 -2.01439
  5 35 402 3.63804 1.71137 298.354 0.0401256 3.47969 -1.01342
  6 45 399 2.69849 1.6986 309.31 0.0207005 2.5764 -1.08808
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
135000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.93987 1.3708 283.084 -0.0278427 2.78547 -1.00608
  3 15 334 3.4927 1.42189 299.188 -0.0731574 3.28697 -1.39815
  4 25 368 3.84721 1.56663 273.924 -0.0111424 3.70952 -2.29789
  5 35 402 3.63045 1.71137 289.132 0.0223975 3.46897 -1.5891
  6 45 399 2.6908 1.6986 279.911 0.0273175 2.57254 -0.978317
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
140000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.94607 1.3708 284.554 -0.00987767 2.78988 -1.18404
  3 15 334 3.47228 1.42189 274.084 -0.0572965 3.26684 -1.83631
  4 25 368 3.8343 1.56663 305.777 0.0131345 3.69712 -2.27944
  5 35 402 3.58653 1.71137 293.273 0.0272721 3.42341 -1.73079
  6 45 399 2.66881 1.6986 288.997 0.0261185 2.55466 -0.84068
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
145000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.9279 1.3708 288.307 -0.0265579 2.77691 -1.17872
  3 15 334 3.48022 1.42189 293.257 -0.0588084 3.27173 -1.81797
  4 25 368 3.81214 1.56663 283.691 0.00804266 3.67588 -2.11516
  5 35 402 3.56941 1.71137 298.688 0.0257935 3.41124 -1.60452
  6 45 399 2.63907 1.6986 302.473 0.0305877 2.53613 -0.977683
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
150000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.92152 1.3708 299.315 -0.0365601 2.76385 -0.719328
  3 15 334 3.47125 1.42189 310.907 -0.0496633 3.26616 -1.66692
  4 25 368 3.81557 1.56663 286.578 0.0129179 3.68568 -2.12071
  5 35 402 3.56296 1.71137 292.398 0.0143836 3.40559 -1.73252
  6 45 399 2.6268 1.6986 296.845 0.0117717 2.52744 -1.12575
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
155000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.89972 1.3708 311.859 -0.0227418 2.74844 -0.69173
  3 15 334 3.43126 1.42189 279.944 -0.0600837 3.23221 -1.70044
  4 25 368 3.80019 1.56663 308.487 0.014084 3.66953 -2.10622
  5 35 402 3.54973 1.71137 296.406 0.0408547 3.3968 -1.51482
  6 45 399 2.61299 1.6986 294.915 0.0456333 2.5103 -1.11343
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
160000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.86276 1.3708 311.776 -0.0386767 2.71446 -0.994825
  3 15 334 3.41096 1.42189 270.452 -0.060489 3.2181 -1.84886
  4 25 368 3.7941 1.56663 294.599 -0.011722 3.66907 -2.08374
  5 35 402 3.54082 1.71137 275.071 -0.00353831 3.38586 -1.38863
  6 45 399 2.60061 1.6986 299.433 0.0230699 2.50434 -1.11551
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
165000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.84552 1.3708 300.652 -0.0514896 2.70207 -0.521924
  3 15 334 3.38952 1.42189 309.534 -0.0763723 3.20683 -2.01865
  4 25 368 3.79653 1.56663 307.826 -0.0118821 3.67456 -2.11372
  5 35 402 3.5386 1.71137 303.722 0.00417289 3.38573 -1.76573
  6 45 399 2.5944 1.6986 286.694 0.028704 2.49696 -0.971818
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
170000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.85815 1.3708 295.965 -0.0349861 2.71137 -0.848624
  3 15 334 3.39348 1.42189 307.935 -0.063673 3.207 -1.84632
  4 25 368 3.78916 1.56663 293.879 -0.0212774 3.66894 -2.11545
  5 35 402 3.5458 1.71137 288.876 -0.00565995 3.39314 -1.40127
  6 45 399 2.60641 1.6986 287.813 0.0102481 2.50907 -1.08933
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
175000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.84479 1.3708 296.907 -0.0449822 2.70248 -0.98628
  3 15 334 3.3739 1.42189 296.504 -0.0694253 3.19291 -2.00327
  4 25 368 3.77353 1.56663 279.098 -0.022166 3.6621 -2.06341
