# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 2696
  8 27.5 277 4.20937 10.922 307.755 -0.849053 2.72764 -0.668632
  9 32.5 268 3.69662 9.29008 299.966 -0.944466 2.37767 0.233292
  10 37.5 265 3.82384 8.04998 309.511 -0.782094 2.57713 -0.488368
  11 42.5 256 3.77298 7.62221 296.105 -0.972665 2.68368 -0.95463
  12 47.5 255 2.33103 7.78927 287.395 -1.2045 1.25802 -0.0776702
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
115000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.324374 0.0510858 135.391 0.303175 0.107275 -0.0567746
  3 2.5 259 2.67383 8.43133 305.459 0.0833355 2.05528 0.256088
  4 7.5 284 3.0152 11.5843 288.479 -0.228211 1.77668 0.368863
  5 12.5 275 4.49858 11.2483 302.065 -0.31011 3.13667 -0.357822
